2022-02-28 03:50:34.044371 : Step: 10878/370000, accuracy: 1.000000, cls loss: 0.001216, bbox loss: 52.402891,Landmark loss :99.559983,L2 loss: 4.902628, Total Loss: 130.665272 ,lr:0.000010 
2022-02-28 03:50:45.329177 : Step: 11248/370000, accuracy: 0.999205, cls loss: 0.002652, bbox loss: 52.028787,Landmark loss :99.723571,L2 loss: 4.902490, Total Loss: 130.643106 ,lr:0.000010 
2022-02-28 03:50:52.113239 : Step: 11470/370000, accuracy: 1.000000, cls loss: 0.001704, bbox loss: 51.304550,Landmark loss :99.791093,L2 loss: 4.900768, Total Loss: 130.345840 ,lr:0.000010 
2022-02-28 03:51:09.049086 : Step: 12025/370000, accuracy: 1.000000, cls loss: 0.002236, bbox loss: 53.726318,Landmark loss :94.236265,L2 loss: 4.900301, Total Loss: 126.001961 ,lr:0.000010 
2022-02-28 03:51:15.898361 : Step: 12247/370000, accuracy: 1.000000, cls loss: 0.002760, bbox loss: 51.027536,Landmark loss :94.238762,L2 loss: 4.900304, Total Loss: 124.655594 ,lr:0.000010 
2022-02-28 03:51:21.554401 : Step: 12432/370000, accuracy: 0.999307, cls loss: 0.004076, bbox loss: 48.725815,Landmark loss :92.628734,L2 loss: 4.901125, Total Loss: 121.896842 ,lr:0.000010 
2022-02-28 03:51:48.633591 : Step: 13320/370000, accuracy: 1.000000, cls loss: 0.000391, bbox loss: 47.874701,Landmark loss :91.486574,L2 loss: 4.902416, Total Loss: 120.326731 ,lr:0.000010 
2022-02-28 03:51:54.378379 : Step: 13505/370000, accuracy: 1.000000, cls loss: 0.000707, bbox loss: 49.933218,Landmark loss :87.449196,L2 loss: 4.901410, Total Loss: 117.317922 ,lr:0.000010 
2022-02-28 03:52:00.090075 : Step: 13690/370000, accuracy: 1.000000, cls loss: 0.000596, bbox loss: 48.102211,Landmark loss :87.930574,L2 loss: 4.899334, Total Loss: 116.881610 ,lr:0.000010 
2022-02-28 03:52:37.181175 : Step: 14911/370000, accuracy: 1.000000, cls loss: 0.001552, bbox loss: 45.546992,Landmark loss :86.997986,L2 loss: 4.894114, Total Loss: 114.667149 ,lr:0.000010 
2022-02-28 03:52:41.719785 : Step: 15059/370000, accuracy: 1.000000, cls loss: 0.001323, bbox loss: 46.522664,Landmark loss :83.756078,L2 loss: 4.892014, Total Loss: 111.910747 ,lr:0.000010 
2022-02-28 03:52:51.865634 : Step: 15392/370000, accuracy: 1.000000, cls loss: 0.001145, bbox loss: 46.542532,Landmark loss :83.082089,L2 loss: 4.887807, Total Loss: 111.242307 ,lr:0.000010 
